identifier,,target URL,failures,last check,HTTP return code,resource creator,resource title,resource publisher,resource date,resource type
doi:10.7910/DVN/0FKGFG,https://ezid.cdlib.org/id/doi:10.7910/DVN/0FKGFG,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/0FKGFG,12,2017-05-08T17:38:22Z,404,"Ipsita Ghatak, Arindam Chatterjee, Dr. Rimu Chaudhuri, and Dr. Malay Kumar Banerjee",Equity Debt Conflict and the Reverse Pyramid â€“ Two Threats to Information Technology Sustainability,Harvard Dataverse,2016,Dataset
doi:10.7910/DVN/0IJBJY,https://ezid.cdlib.org/id/doi:10.7910/DVN/0IJBJY,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/0IJBJY,12,2017-05-08T17:38:33Z,404,"Prof. Dr. Ahmet GÃœRBÃœZ, Lec. Ä lknur KILIÃ‡, and TuÄŸba YEÄ_Ä N",Effects of RemarketÄ±ng ImplementatÄ±ons on Consumersâ€™ BehavÄ±our,Harvard Dataverse,2016,Dataset
doi:10.7910/DVN/0V0ZI9,https://ezid.cdlib.org/id/doi:10.7910/DVN/0V0ZI9,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/0V0ZI9,8,2017-05-09T00:18:50Z,404,"OJO Oluwole Patrick (Assistant Lecturer College of Social and Management Sciences, Afe Babalola University, Ado-Ekiti, Nigeria); OJO Mathew Olusola (Department of Peace Studies and Conflict Resolution School of Arts and Social Sciences National Open University of Nigeria, Nigeria); ESAN Vincent Alaba (Department of Political Science and International Studies College of Social and Management Sciences Afe Babalola University Ado-Ekiti. Nigeria)",From Political Transitions to Good Governance in Africa: Resolving the Socio-Economic Roots of Insecurity in the 21st Century.,Harvard Dataverse,2016,Dataset
doi:10.7910/DVN/28645,https://ezid.cdlib.org/id/doi:10.7910/DVN/28645,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/28645,8,2017-05-09T00:18:56Z,404,"Haque Aynul (Assistant Professor of Political Science, GushkaraMahavidyalaya,Gushkara, Burdwan.India)",NEED FOR SOUTH-SOUTH COOPERATION TO CONFRONT THE CHALLENGES POSED BY THE GLOBAL NORTH AS TO NORTH-SOUTH GAP,Harvard Dataverse,2015,Text
doi:10.7910/DVN/28652,https://ezid.cdlib.org/id/doi:10.7910/DVN/28652,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/28652,8,2017-05-09T00:19:02Z,404,"Adesanya Olusegun Paul (Department of Political Science and International Studies, Afe Babalola University, Ado-Ekiti  Nigeria)",Alternating the Paradigm of Oblivion? Oil and the 21st Century Scramble for Africa,Harvard Dataverse,2015,Text
doi:10.7910/DVN/28654,https://ezid.cdlib.org/id/doi:10.7910/DVN/28654,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/28654,8,2017-05-09T00:19:09Z,404,"Jeelani Fiona, Jeelani Faisal Rafiq (Assistant Professor, School of Business Studies, Islamic University of Science and Technology, Awantipora  India)",Role of Microfinance in the Socio Economic development of Women,Harvard Dataverse,2015,Text
doi:10.7910/DVN/28655,https://ezid.cdlib.org/id/doi:10.7910/DVN/28655,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/28655,8,2017-05-09T00:19:15Z,404,"Kumar Ashutosh (Assistant Professor - English, Murarka college, Sultangunj, Bhagalpur, Bihar India)",Exploring the Explorer : My Conversation With Dr. A. K. Choudhary,Harvard Dataverse,2015,Text
doi:10.7910/DVN/28680,https://ezid.cdlib.org/id/doi:10.7910/DVN/28680,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/28680,8,2017-05-09T00:19:21Z,404,"Bryan Mead (Northern Illinois University, Department of English, Ph.D. Students/Graduate Teaching Assistant United States)",Hiding in Plain Sight: False Identity and the Use of Space in Akira Kurosawa's The Hidden Fortress.,Harvard Dataverse,2015,Text
doi:10.7910/DVN/28681,https://ezid.cdlib.org/id/doi:10.7910/DVN/28681,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/28681,8,2017-05-09T00:19:27Z,404,"ARGHYA CHAKRABORTY, PINAKI RANJAN DAS (UNIVERSITY OF NORTH BENGAL India)",The Woman Construct: An Existential Critique,Harvard Dataverse,2015,Text
doi:10.7910/DVN/28682,https://ezid.cdlib.org/id/doi:10.7910/DVN/28682,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/28682,8,2017-05-09T00:19:33Z,404,Arvi Sepp (http://www.socratesjournal.com/index.php/socrates/article/view/101),"""The New Sorrows of Young W."" ""Comments on the Film Adaptation of Ulrich Plenzdorf's GDR Novel""",Harvard Dataverse,2015,Text
doi:10.7910/DVN/28947,https://ezid.cdlib.org/id/doi:10.7910/DVN/28947,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/28947,8,2017-05-09T00:19:39Z,404,"Dr. Abdus Shahid (Department of Economics, Head Department of Computer Science Diphu Government College, Assam University India)",eHealth Services in Supporting Pregnant Women,Harvard Dataverse,2015,Text
